zip_code_id,primary_city,county,state,state_short,country,latitude,longitude
72613,Beaver,Carroll County,Arkansas,AR,US,"36,47","-93,77"
72615,Bergman,Boone County,Arkansas,AR,US,"36,31","-93,01"
72616,Berryville,Carroll County,Arkansas,AR,US,"36,37","-93,56"
72617,Big Flat,Baxter County,Arkansas,AR,US,36,"-92,4"
72619,Bull Shoals,Marion County,Arkansas,AR,US,"36,37","-92,58"
72623,Clarkridge,Baxter County,Arkansas,AR,US,"36,45","-92,34"
72624,Compton,Newton County,Arkansas,AR,US,"36,06","-93,38"
72626,Cotter,Baxter County,Arkansas,AR,US,"36,28","-92,52"
72628,Deer,Newton County,Arkansas,AR,US,"35,84","-93,28"
72629,Dennard,Van Buren County,Arkansas,AR,US,"35,72","-92,58"
72630,Diamond City,Boone County,Arkansas,AR,US,"36,48","-92,9"
72631,Eureka Springs,Carroll County,Arkansas,AR,US,"36,46","-93,71"
72632,Eureka Springs,Carroll County,Arkansas,AR,US,"36,39","-93,73"
72633,Everton,Boone County,Arkansas,AR,US,"36,15","-92,9"
72634,Flippin,Marion County,Arkansas,AR,US,"36,27","-92,59"
72635,Gassville,Baxter County,Arkansas,AR,US,"36,28","-92,49"
72636,Gilbert,Searcy County,Arkansas,AR,US,"35,99","-92,72"
72638,Green Forest,Carroll County,Arkansas,AR,US,"36,33","-93,42"
72639,Harriet,Searcy County,Arkansas,AR,US,"35,98","-92,49"
72640,Hasty,Newton County,Arkansas,AR,US,"36,01","-93,04"
72641,Jasper,Newton County,Arkansas,AR,US,36,"-93,18"
72642,Lakeview,Baxter County,Arkansas,AR,US,"36,37","-92,53"
72643,Lead Hill,Webster County,Missouri,MO,US,"37,32","-92,88"
72644,Lead Hill,Boone County,Arkansas,AR,US,"36,41","-92,9"
72645,Leslie,Searcy County,Arkansas,AR,US,"35,82","-92,55"
72648,Marble Falls,Newton County,Arkansas,AR,US,"36,08","-93,15"
